"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Acinetobacter","0","1","3398.67205215588","706.642301020394","4.80960741700318","2.26591913918092","0.792082822297565","0.792082822297565","1","Control","0.856382978723404","0.924468085106383","0"
"Acinetobacter","1","2","744.992551956196","282.126811128556","2.64063010876598","1.4008822274336","0.621302507806623","0.621302507806623","1","Control","0.870212765957447","0.924468085106383","1"
"Acinetobacter","2","3","163.303163491513","112.639069648634","1.44979147999819","0.535845415822707","0.310245636150899","0.310245636150899","1","Control","0.924468085106383","0.924468085106383","2"
"Acinetobacter","3","4","35.7962271968627","44.9711155373563","0.795982638392142","-0.32919113117713","-0.204017361607853","0.204017361607853","-1","NoTDA","0.882978723404255","0.924468085106383","3"
"Acinetobacter","4","5","7.84657081202535","17.954697913343","0.437020486220166","-1.19422718432511","-0.562979513779821","0.562979513779821","-1","NoTDA","0.629787234042553","0.924468085106383","4"
"Acinetobacter","5","6","1.71997653474871","7.16840171652133","0.239938636639825","-2.05926260544888","-0.760061363360142","0.760061363360142","-1","NoTDA","0.521276595744681","0.924468085106383","5"
"Acinetobacter","6","7","0.377020641671021","2.86197859910342","0.13173426306861","-2.92429746660289","-0.868265736931308","0.868265736931308","-1","NoTDA","0.568085106382979","0.924468085106383","6"
"Acinetobacter","7","8","0.0826433140079726","1.14264221195211","0.0723265018074062","-3.78933181479161","-0.927673498192387","0.927673498192387","-1","NoTDA","0.641489361702128","0.924468085106383","7"
"Acinetobacter","8","9","0.0181154995808655","0.45619866478604","0.039709672515946","-4.6543657267106","-0.960290327483533","0.960290327483533","-1","NoTDA","0.656382978723404","0.924468085106383","8"
"Acinetobacter","9","10","0.00397093615849726","0.182136792059957","0.0218019440969953","-5.51939940275234","-0.978198055901697","0.978198055901697","-1","NoTDA","0.642553191489362","0.924468085106383","9"
