"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Algoriphagus","0","1","8360.39598117855","4952.28560610457","1.6881893828726","0.755476756181005","0.407649396361911","0.407649396361911","1","Control","0.0195652173913043","0.148550724637681","0"
"Algoriphagus","1","2","8846.09377572868","6427.37971815667","1.37631416901345","0.4608098293005","0.273421706675585","0.273421706675585","1","Control","0.0891304347826087","0.148550724637681","1"
"Algoriphagus","2","3","7917.90811043062","7220.80704977876","1.09654060215793","0.132959232392181","0.088041064752133","0.088041064752133","1","Control","0.590217391304348","0.655797101449275","2"
"Algoriphagus","3","4","7134.64805534984","6789.84485310418","1.05078219159721","0.0714636553442659","0.048327990332629","0.048327990332629","1","Control","0.692391304347826","0.692391304347826","3"
"Algoriphagus","4","5","7016.07274867644","5253.0368551486","1.3356222204685","0.417512000530023","0.251285292596265","0.251285292596265","1","Control","0.0641304347826087","0.148550724637681","4"
"Algoriphagus","5","6","6752.36794992975","5211.15017057334","1.29575386026284","0.373791691753681","0.228248488646482","0.228248488646482","1","Control","0.0880434782608696","0.148550724637681","5"
"Algoriphagus","6","7","6910.46101531609","6035.7424143607","1.14492311647929","0.195250722166598","0.126578906822091","0.126578906822091","1","Control","0.419565217391304","0.52445652173913","6"
"Algoriphagus","7","8","7466.08583089995","5909.74310019488","1.2633520111312","0.337256677095133","0.208454974394188","0.208454974394188","1","Control","0.182608695652174","0.260869565217391","7"
"Algoriphagus","8","9","7956.56026075058","6217.40690236064","1.27972326497235","0.35583186693121","0.218581057818305","0.218581057818305","1","Control","0.041304347826087","0.148550724637681","8"
"Algoriphagus","9","10","9186.42840217305","6334.97925969307","1.45011183550712","0.536164168040039","0.310398015163921","0.310398015163921","1","Control","0.0782608695652174","0.148550724637681","9"
