"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Alteromonas","0","1","333.177853218301","1910.01045351178","0.174437711901374","-2.51921612305499","-0.825562288098626","0.825562288098626","-1","NoTDA","0.0392156862745098","0.0392156862745098","0"
"Alteromonas","1","2","419.51790238714","1768.40909791803","0.237228988971524","-2.07564777939615","-0.762771011028476","0.762771011028476","-1","NoTDA","0.0108932461873638","0.0155617802676626","1"
"Alteromonas","2","3","501.620946006348","1636.39526073747","0.306540209472548","-1.70585176745798","-0.693459790527452","0.693459790527452","-1","NoTDA","0.0108932461873638","0.0155617802676626","2"
"Alteromonas","3","4","569.210499416547","1513.325719462","0.37613217835147","-1.41068835973421","-0.62386782164853","0.62386782164853","-1","NoTDA","0.00871459694989107","0.0155617802676626","3"
"Alteromonas","4","5","599.087736881721","1398.81883875334","0.428281147125271","-1.22336992348964","-0.571718852874729","0.571718852874729","-1","NoTDA","0.0250544662309368","0.031318082788671","4"
"Alteromonas","5","6","568.333647361687","1292.63001847471","0.439672326372488","-1.18549936484216","-0.560327673627512","0.560327673627512","-1","NoTDA","0.0392156862745098","0.0392156862745098","5"
"Alteromonas","6","7","476.764823181087","1194.41175278212","0.399162869982288","-1.32495056705726","-0.600837130017712","0.600837130017712","-1","NoTDA","0.00762527233115468","0.0155617802676626","6"
"Alteromonas","7","8","350.311468785528","1103.73424586508","0.31738751433862","-1.65568271956889","-0.68261248566138","0.68261248566138","-1","NoTDA","0.00108932461873638","0.00544662309368192","7"
"Alteromonas","8","9","227.520556607318","1020.19782352493","0.223016116444163","-2.16478012342375","-0.776983883555837","0.776983883555837","-1","NoTDA","0.00108932461873638","0.00544662309368192","8"
"Alteromonas","9","10","135.295858496104","943.204679370088","0.143442734599727","-2.80145319769323","-0.856557265400273","0.856557265400273","-1","NoTDA","0.00217864923747277","0.00726216412490922","9"
