"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Halomonas","0","1","12.3821795852194","899.470391247911","0.0137660780229136","-6.18273859782791","-0.986233921977086","0.986233921977086","-1","NoTDA","0.0130718954248366","0.127087872185911","0"
"Halomonas","1","2","19.4440796881746","859.630438923559","0.0226191149216665","-5.46631371151262","-0.977380885078333","0.977380885078333","-1","NoTDA","0.0348583877995643","0.127087872185911","1"
"Halomonas","2","3","30.5336341121908","824.070532805555","0.037052209606669","-4.75429660963147","-0.962947790393331","0.962947790393331","-1","NoTDA","0.0381263616557734","0.127087872185911","2"
"Halomonas","3","4","47.9480441598942","795.758068705945","0.0602545497752438","-4.05278600751335","-0.939745450224756","0.939745450224756","-1","NoTDA","0.0620915032679739","0.155228758169935","3"
"Halomonas","4","5","75.2947794995844","785.415332127462","0.0958661951449722","-3.38283401576681","-0.904133804855028","0.904133804855028","-1","NoTDA","0.120915032679739","0.212418300653595","4"
"Halomonas","5","6","118.238905553391","768.783514646802","0.153800001301684","-2.7008725793774","-0.846199998698316","0.846199998698316","-1","NoTDA","0.127450980392157","0.212418300653595","5"
"Halomonas","6","7","185.676604138297","733.902563321502","0.252998985720884","-1.98279649375586","-0.747001014279116","0.747001014279116","-1","NoTDA","0.316993464052288","0.452847805788982","6"
"Halomonas","7","8","291.577850946943","691.617178803429","0.421588502835346","-1.24609257119639","-0.578411497164654","0.578411497164654","-1","NoTDA","0.417211328976035","0.521514161220044","7"
"Halomonas","8","9","457.879929186604","657.237767773403","0.696673185318937","-0.521446059300204","-0.303326814681062","0.303326814681062","-1","NoTDA","0.806100217864924","0.895666908738804","8"
"Halomonas","9","10","719.032031255531","644.955072445506","1.11485599846381","0.156857374971847","0.103023169469484","0.103023169469484","1","Control","0.929193899782135","0.929193899782135","9"
