"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Henriciella","0","1","537.092614833762","1391.29170061911","0.386038826074189","-1.37318214022363","-0.613961173925811","0.613961173925811","-1","NoTDA","0.177312775330396","0.998898678414097","0"
"Henriciella","1","2","829.038845736537","1268.22601591579","0.653699605064393","-0.613300269322933","-0.346300394935608","0.346300394935608","-1","NoTDA","0.726872246696035","0.998898678414097","1"
"Henriciella","2","3","1043.02298073325","1143.64360317687","0.912017500763251","-0.132866586262578","-0.087982499236749","0.087982499236749","-1","NoTDA","0.927312775330396","0.998898678414097","2"
"Henriciella","3","4","994.076936922928","1030.31842628138","0.9648249624252","-0.0516608610519711","-0.0351750375747995","0.0351750375747995","-1","NoTDA","0.960352422907489","0.998898678414097","3"
"Henriciella","4","5","860.433978875055","958.259267841107","0.897913547774554","-0.155351547694917","-0.102086452225446","0.102086452225446","-1","NoTDA","0.851321585903084","0.998898678414097","4"
"Henriciella","5","6","942.790515406942","943.038440319636","0.999737099886819","-0.00037933455526988","-0.000262900113180542","0.000262900113180542","-1","NoTDA","0.998898678414097","0.998898678414097","5"
"Henriciella","6","7","1487.31824632381","997.60663250539","1.49088648557654","0.576170416621933","0.329258122818594","0.329258122818594","1","Control","0.544052863436123","0.998898678414097","6"
"Henriciella","7","8","2142.49449649349","1144.4874968462","1.87201214726892","0.904589796431879","0.465815432095939","0.465815432095939","1","Control","0.552863436123348","0.998898678414097","7"
"Henriciella","8","9","1719.37262398519","1414.25702453382","1.21574267913001","0.281837904087714","0.177457518629188","0.177457518629188","1","Control","0.834801762114537","0.998898678414097","8"
"Henriciella","9","10","704.181612003683","1840.93029834278","0.382513999925795","-1.38641554380391","-0.617486000074204","0.617486000074204","-1","NoTDA","0.506607929515419","0.998898678414097","9"
