"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Jejuia","0","1","22716.9201983676","32769.6614762231","0.693230237207379","-0.528593511771637","-0.306769762792621","0.306769762792621","-1","NoTDA","0.107991360691145","0.539956803455723","0"
"Jejuia","1","2","23961.8166631036","40539.4415760371","0.591074167071591","-0.758588925985444","-0.408925832928409","0.408925832928409","-1","NoTDA","0.0118790496760259","0.118790496760259","1"
"Jejuia","2","3","25286.8690298539","34602.5593673449","0.730780309092325","-0.452490333879783","-0.269219690907675","0.269219690907675","-1","NoTDA","0.176025917926566","0.58675305975522","2"
"Jejuia","3","4","26679.1971429009","23620.2392379328","1.12950579687845","0.175691674986267","0.11465704490969","0.11465704490969","1","Control","0.606911447084233","0.874730021598272","3"
"Jejuia","4","5","28041.2120158229","21625.4838971281","1.29667443046427","0.374816292607618","0.22879639136406","0.22879639136406","1","Control","0.285097192224622","0.712742980561555","4"
"Jejuia","5","6","29218.2501929249","27385.0074178932","1.06694330029043","0.0934835102173484","0.0627430719816206","0.0627430719816206","1","Control","0.699784017278618","0.874730021598272","5"
"Jejuia","6","7","30042.7890747419","30729.0621827838","0.977666968683919","-0.0325849839542196","-0.0223330313160817","0.0223330313160817","-1","NoTDA","0.911447084233261","0.911447084233261","6"
"Jejuia","7","8","30389.0237013616","27597.4372271385","1.1011538300186","0.139016025943678","0.0918616702417435","0.0918616702417435","1","Control","0.616630669546436","0.874730021598272","7"
"Jejuia","8","9","30248.3831567425","26287.043612446","1.1506955138318","0.202506131646592","0.130960373113808","0.130960373113808","1","Control","0.56695464362851","0.874730021598272","8"
"Jejuia","9","10","29771.2572700944","31005.8732004202","0.960181223655747","-0.0586213705171794","-0.0398187763442536","0.0398187763442536","-1","NoTDA","0.90280777537797","0.911447084233261","9"
