"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Marinobacter","0","1","3030.06348359733","3036.3267352525","0.997937227379895","-0.00297902541294642","-0.00206277262010485","0.00206277262010485","-1","NoTDA","0.998923573735199","0.998923573735199","0"
"Marinobacter","1","2","3927.79738725787","4053.52709317073","0.96898264079086","-0.0454572747261277","-0.0310173592091396","0.0310173592091396","-1","NoTDA","0.970936490850377","0.998923573735199","1"
"Marinobacter","2","3","2654.14276759029","4612.36318547599","0.575440974801812","-0.797260141730415","-0.424559025198188","0.424559025198188","-1","NoTDA","0.393972012917115","0.998923573735199","2"
"Marinobacter","3","4","3667.21764173869","3725.3536145154","0.984394508872878","-0.0226914846775986","-0.015605491127122","0.015605491127122","-1","NoTDA","0.981700753498385","0.998923573735199","3"
"Marinobacter","4","5","4883.6159919824","2680.96988236254","1.82158554786853","0.865194750550114","0.451027704315004","0.451027704315004","1","Control","0.302475780409042","0.998923573735199","4"
"Marinobacter","5","6","2989.57231300567","2127.23829376283","1.4053772545235","0.490957454413189","0.288447285751005","0.288447285751005","1","Control","0.592034445640474","0.998923573735199","5"
"Marinobacter","6","7","1395.97917848525","2067.6481542512","0.675153156795581","-0.566713283856305","-0.324846843204419","0.324846843204419","-1","NoTDA","0.452099031216362","0.998923573735199","6"
"Marinobacter","7","8","2270.94013320743","2174.18697149837","1.04450084697287","0.0628136622691295","0.0426048931428243","0.0426048931428243","1","Control","0.958019375672766","0.998923573735199","7"
"Marinobacter","8","9","2597.63205984206","2459.43701698171","1.05618970597993","0.0788689855448254","0.053200391616954","0.053200391616954","1","Control","0.92465016146394","0.998923573735199","8"
"Marinobacter","9","10","1534.48382798358","3837.9471433069","0.399818905963728","-1.32258140145609","-0.600181094036272","0.600181094036272","-1","NoTDA","0.269106566200215","0.998923573735199","9"
