"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Marivita","0","1","3323.9491681259","3385.68489422894","0.981765661001627","-0.0265493881233466","-0.0182343389983727","0.0182343389983727","-1","NoTDA","0.946739130434783","0.946739130434783","0"
"Marivita","1","2","6228.54917084857","3512.57730599656","1.77321340663888","0.826366175363561","0.436052086987376","0.436052086987376","1","Control","0.0260869565217391","0.130434782608696","1"
"Marivita","2","3","7266.83628182376","3687.92955475265","1.97043793107679","0.978516305203707","0.492498604382058","0.492498604382058","1","Control","0.0206521739130435","0.130434782608696","2"
"Marivita","3","4","5831.24244224406","3921.94855293247","1.48682277789799","0.572232695349404","0.327424885557807","0.327424885557807","1","Control","0.181521739130435","0.302536231884058","3"
"Marivita","4","5","7650.89454524445","4195.57256497796","1.82356387042602","0.86676073103304","0.451623265728347","0.451623265728347","1","Control","0.119565217391304","0.239130434782609","4"
"Marivita","5","6","6963.15052350705","4373.90237283614","1.59197666750664","0.670819191459989","0.371850090261557","0.371850090261557","1","Control","0.256521739130435","0.327445652173913","5"
"Marivita","6","7","3694.11612828269","4295.81915201554","0.859932878354402","-0.217704039542845","-0.140067121645597","0.140067121645597","-1","NoTDA","0.68804347826087","0.764492753623188","6"
"Marivita","7","8","10397.5888699082","4121.77742245491","2.52259833664562","1.33491050997613","0.603583342828279","0.603583342828279","1","Control","0.0923913043478261","0.239130434782609","7"
"Marivita","8","9","10827.1432157549","4007.5861501783","2.70166200052199","1.43384719328955","0.629857472990038","0.629857472990038","1","Control","0.114130434782609","0.239130434782609","8"
"Marivita","9","10","9189.79304558676","3693.6817489341","2.48797640680297","1.31497280462055","0.598066928100419","0.598066928100419","1","Control","0.26195652173913","0.327445652173913","9"
