"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Phaeobacter","0","1","734.827324993432","1738.69100912658","0.422632498319852","-1.24252438733476","-0.577367501680148","0.577367501680148","-1","NoTDA","0.132686084142395","0.26537216828479","0"
"Phaeobacter","1","2","564.556115292276","1723.98345318624","0.327471887417987","-1.6105570344159","-0.672528112582013","0.672528112582013","-1","NoTDA","0.0431499460625674","0.143833153541891","1"
"Phaeobacter","2","3","425.187691928512","1634.55028159452","0.260125183493123","-1.94272201724477","-0.739874816506877","0.739874816506877","-1","NoTDA","0.0334412081984898","0.143833153541891","2"
"Phaeobacter","3","4","391.978858753396","1455.89731573099","0.269235236934679","-1.89306085572625","-0.730764763065322","0.730764763065322","-1","NoTDA","0.029126213592233","0.143833153541891","3"
"Phaeobacter","4","5","468.138908174098","1247.16534314211","0.375362345296309","-1.41364416229709","-0.624637654703691","0.624637654703691","-1","NoTDA","0.0862998921251348","0.215749730312837","4"
"Phaeobacter","5","6","668.165055981787","1089.40927545762","0.613327856696571","-0.705269616751869","-0.386672143303429","0.386672143303429","-1","NoTDA","0.25782092772384","0.368315611034058","5"
"Phaeobacter","6","7","891.478614405552","1009.43021835259","0.883150314105379","-0.179269086279128","-0.116849685894621","0.116849685894621","-1","NoTDA","0.757281553398058","0.841423948220065","6"
"Phaeobacter","7","8","933.014476190178","993.063807375162","0.939531245888716","-0.0899869528917293","-0.0604687541112831","0.0604687541112831","-1","NoTDA","0.874865156418554","0.874865156418554","7"
"Phaeobacter","8","9","769.354092053499","1046.00741548746","0.735514950144939","-0.443173428756324","-0.26448504985506","0.26448504985506","-1","NoTDA","0.509169363538296","0.636461704422869","8"
"Phaeobacter","9","10","537.798840790164","1187.29549463456","0.45296124108994","-1.14254048761723","-0.547038758910059","0.547038758910059","-1","NoTDA","0.222222222222222","0.368315611034058","9"
