"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Ponticoccus","0","1","1274.01882142695","1527.84829595055","0.833864739584186","-0.262114710446401","-0.166135260415814","0.166135260415814","-1","NoTDA","0.600216684723727","0.940411700975081","0"
"Ponticoccus","1","2","1264.03120718243","1500.90375102106","0.842180057397095","-0.247799381616115","-0.157819942602905","0.157819942602905","-1","NoTDA","0.556879739978332","0.940411700975081","1"
"Ponticoccus","2","3","1274.82337130317","1474.04842260275","0.864844975073612","-0.209486544492298","-0.135155024926388","0.135155024926388","-1","NoTDA","0.590465872156013","0.940411700975081","2"
"Ponticoccus","3","4","1337.92473311526","1447.25005383785","0.924459964307701","-0.113317252862449","-0.0755400356922991","0.0755400356922991","-1","NoTDA","0.777898158179848","0.940411700975081","3"
"Ponticoccus","4","5","1444.26819389317","1420.69108025361","1.01659552450724","0.0237457845460242","0.0163246090575493","0.0163246090575493","1","Control","0.940411700975081","0.940411700975081","4"
"Ponticoccus","5","6","1529.14660002456","1394.65389618533","1.09643446607584","0.132819584658265","0.0879527861076677","0.0879527861076677","1","Control","0.722643553629469","0.940411700975081","5"
"Ponticoccus","6","7","1487.25513084208","1369.29591788836","1.08614588812594","0.119217894984054","0.0793133676311003","0.0793133676311003","1","Control","0.751895991332611","0.940411700975081","6"
"Ponticoccus","7","8","1286.72911556292","1344.49519797915","0.957035114366299","-0.0633562355963878","-0.0429648856336993","0.0429648856336993","-1","NoTDA","0.859154929577465","0.940411700975081","7"
"Ponticoccus","8","9","1024.8243275856","1319.88217202782","0.776451375209575","-0.365032515336651","-0.223548624790426","0.223548624790426","-1","NoTDA","0.355362946912243","0.940411700975081","8"
"Ponticoccus","9","10","787.002782186488","1295.26710653426","0.607598832871056","-0.718808996299433","-0.392401167128943","0.392401167128943","-1","NoTDA","0.111592632719393","0.940411700975081","9"
