"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Porphyrobacter","0","1","88.5917553477577","143.647759320304","0.616729114097886","-0.697291141269329","-0.383270885902114","0.383270885902114","-1","NoTDA","0.0534934497816594","0.534934497816594","0"
"Porphyrobacter","1","2","101.165537599317","138.336488902773","0.731300457324885","-0.451463830659801","-0.268699542675115","0.268699542675115","-1","NoTDA","0.158296943231441","0.687772925764192","1"
"Porphyrobacter","2","3","122.401666925734","133.608380203008","0.916122676884141","-0.126387294073979","-0.0838773231158589","0.0838773231158589","-1","NoTDA","0.64410480349345","0.749636098981077","2"
"Porphyrobacter","3","4","146.290022088483","129.770634288334","1.12729681018162","0.172867418083427","0.112922177222437","0.112922177222437","1","Control","0.560043668122271","0.749636098981077","3"
"Porphyrobacter","4","5","159.160039823277","127.127459144574","1.25197216159472","0.324202483376158","0.201260195173804","0.201260195173804","1","Control","0.27292576419214","0.687772925764192","4"
"Porphyrobacter","5","6","156.11579610768","126.258011394044","1.23648229830305","0.306241586001036","0.191254091245462","0.191254091245462","1","Control","0.275109170305677","0.687772925764192","5"
"Porphyrobacter","6","7","148.505048616849","127.751437830358","1.16245305054061","0.217172449450742","0.139750203644835","0.139750203644835","1","Control","0.486899563318777","0.749636098981077","6"
"Porphyrobacter","7","8","145.142082325139","131.655691914543","1.10243681996939","0.140695978115078","0.0929185401955586","0.0929185401955586","1","Control","0.674672489082969","0.749636098981077","7"
"Porphyrobacter","8","9","138.063227272244","137.453713645077","1.00443431909552","0.00638322797041079","0.00441474271758563","0.00441474271758563","1","Control","0.986899563318777","0.986899563318777","8"
"Porphyrobacter","9","10","126.057810651537","144.432787911751","0.872778352298777","-0.196312776244303","-0.127221647701223","0.127221647701223","-1","NoTDA","0.65174672489083","0.749636098981077","9"
