"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Roseobacter","0","1","466.060098836868","374.06400412485","1.24593677471653","0.31723086040266","0.197391055234313","0.197391055234313","1","Control","0.84061135371179","0.934012615235323","0"
"Roseobacter","1","2","416.512385631037","419.680320244477","0.99245155309738","-0.0109314166237899","-0.00754844690262035","0.00754844690262035","-1","NoTDA","0.991266375545852","0.991266375545852","1"
"Roseobacter","2","3","371.297595052104","464.780699435638","0.798866208306313","-0.323974189700752","-0.201133791693687","0.201133791693687","-1","NoTDA","0.774017467248908","0.934012615235323","2"
"Roseobacter","3","4","329.271964795875","491.684144263962","0.669681885489283","-0.578452150382504","-0.330318114510717","0.330318114510717","-1","NoTDA","0.609170305676856","0.87024329382408","3"
"Roseobacter","4","5","289.591126788402","482.533961162642","0.600146621992462","-0.736613085866659","-0.399853378007538","0.399853378007538","-1","NoTDA","0.483624454148472","0.806040756914119","4"
"Roseobacter","5","6","252.278912847485","441.093656425411","0.571939562432011","-0.806065391216484","-0.428060437567989","0.428060437567989","-1","NoTDA","0.373362445414847","0.806040756914119","5"
"Roseobacter","6","7","218.154391085963","383.626741569847","0.568663149480271","-0.814353777118405","-0.431336850519729","0.431336850519729","-1","NoTDA","0.343886462882096","0.806040756914119","6"
"Roseobacter","7","8","187.878076506109","320.477330244352","0.58624451334158","-0.770425579369259","-0.41375548665842","0.41375548665842","-1","NoTDA","0.382096069868996","0.806040756914119","7"
"Roseobacter","8","9","161.536989118267","260.453188922809","0.620215055866112","-0.689159546750868","-0.379784944133889","0.379784944133889","-1","NoTDA","0.40174672489083","0.806040756914119","8"
"Roseobacter","9","10","138.818114086077","210.242564035516","0.660275975623217","-0.598858940955203","-0.339724024376783","0.339724024376783","-1","NoTDA","0.466157205240175","0.806040756914119","9"
