"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"SM1A02","0","1","13741.2359119379","20334.6432771164","0.675754952996967","-0.565427913746371","-0.324245047003033","0.324245047003033","-1","NoTDA","0.284017278617711","0.884449244060475","0"
"SM1A02","1","2","15065.6660701402","17240.9986920408","0.873827922572446","-0.194578888037287","-0.126172077427554","0.126172077427554","-1","NoTDA","0.549676025917927","0.884449244060475","1"
"SM1A02","2","3","16268.7882851017","14410.4263719863","1.12895953701468","0.174993779472852","0.114228661689406","0.114228661689406","1","Control","0.497840172786177","0.884449244060475","2"
"SM1A02","3","4","17087.7139705486","12978.4640366906","1.31662066653195","0.396839748523871","0.240479793899898","0.240479793899898","1","Control","0.197624190064795","0.884449244060475","3"
"SM1A02","4","5","17273.2441949917","16397.7249271875","1.05339272805781","0.075043405205281","0.050686440712624","0.050686440712624","1","Control","0.807775377969762","0.884449244060475","4"
"SM1A02","5","6","16845.3132322362","17264.0457083889","0.975745402715816","-0.0354233345531059","-0.0242545972841846","0.0242545972841846","-1","NoTDA","0.876889848812095","0.884449244060475","5"
"SM1A02","6","7","16137.9767974979","16914.0062972016","0.954119119617912","-0.0677587001934299","-0.0458808803820885","0.0458808803820885","-1","NoTDA","0.782937365010799","0.884449244060475","6"
"SM1A02","7","8","15430.7808684787","15989.8734211422","0.965034585456801","-0.0513474474570099","-0.0349654145431995","0.0349654145431995","-1","NoTDA","0.884449244060475","0.884449244060475","7"
"SM1A02","8","9","14674.7535129022","15281.927172195","0.960268515060225","-0.0584902190749933","-0.0397314849397742","0.0397314849397742","-1","NoTDA","0.872570194384449","0.884449244060475","8"
"SM1A02","9","10","13802.0943229121","17231.8619949356","0.800963606078584","-0.320191403467843","-0.199036393921416","0.199036393921416","-1","NoTDA","0.259179265658747","0.884449244060475","9"
