"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Yoonia-Loktanella","0","1","46.0820307152659","90.5634579957088","0.508836916512722","-0.974724751824482","-0.491163083487278","0.491163083487278","-1","NoTDA","0.619565217391304","0.885093167701863","0"
"Yoonia-Loktanella","1","2","44.9817022133915","85.1199469067925","0.528450778554256","-0.920158993842673","-0.471549221445743","0.471549221445743","-1","NoTDA","0.570652173913043","0.885093167701863","1"
"Yoonia-Loktanella","2","3","43.7490932690784","79.6586444421918","0.54920710207198","-0.864577813069908","-0.45079289792802","0.45079289792802","-1","NoTDA","0.465217391304348","0.885093167701863","2"
"Yoonia-Loktanella","3","4","42.1686651152874","73.4870221884049","0.573824654469955","-0.801318139821187","-0.426175345530045","0.426175345530045","-1","NoTDA","0.440217391304348","0.885093167701863","3"
"Yoonia-Loktanella","4","5","40.0439566308539","66.066321168122","0.606117548591093","-0.722330482172966","-0.393882451408908","0.393882451408908","-1","NoTDA","0.497826086956522","0.885093167701863","4"
"Yoonia-Loktanella","5","6","37.4160597198142","57.6187537689887","0.649372943223081","-0.622880820351261","-0.35062705677692","0.35062705677692","-1","NoTDA","0.504347826086956","0.885093167701863","5"
"Yoonia-Loktanella","6","7","34.5906677316358","48.823245364079","0.708487677820069","-0.497185333208388","-0.29151232217993","0.29151232217993","-1","NoTDA","0.567391304347826","0.885093167701863","6"
"Yoonia-Loktanella","7","8","31.863420325482","40.3102264417399","0.790455007032373","-0.339244748658702","-0.209544992967627","0.209544992967627","-1","NoTDA","0.722826086956522","0.903532608695652","7"
"Yoonia-Loktanella","8","9","29.3843787967175","32.6443847294668","0.900135782623386","-0.151785451065336","-0.0998642173766151","0.0998642173766151","-1","NoTDA","0.907608695652174","0.973913043478261","8"
"Yoonia-Loktanella","9","10","27.1637353173141","26.194937171436","1.03698417520675","0.0523938782157997","0.0356651297975451","0.0356651297975451","1","Control","0.973913043478261","0.973913043478261","9"
