"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Acinetobacter","0","1","41.166072206164","417.626627758925","0.0985714738235682","-3.34268599274234","-0.901428526176432","0.901428526176432","-1","TDA","0.547790339157246","0.87153134635149","0"
"Acinetobacter","1","2","36.6096119073505","193.608006650959","0.189091414867729","-2.40284423138243","-0.810908585132271","0.810908585132271","-1","TDA","0.612538540596095","0.87153134635149","1"
"Acinetobacter","2","3","32.3540633170269","89.7549560150408","0.360471050886652","-1.47204469234017","-0.639528949113349","0.639528949113349","-1","TDA","0.719424460431655","0.87153134635149","2"
"Acinetobacter","3","4","28.1088362527091","41.6096005592136","0.675537276852926","-0.565892713719772","-0.324462723147074","0.324462723147074","-1","TDA","0.816032887975334","0.87153134635149","3"
"Acinetobacter","4","5","23.7124952849734","19.2898399831471","1.22927382008821","0.297806311058608","0.186511594358819","0.186511594358819","1","Control","0.87153134635149","0.87153134635149","4"
"Acinetobacter","5","6","19.3762243813117","8.94259696829123","2.16673349475729","1.11552171483599","0.538475773592074","0.538475773592074","1","Control","0.619732785200411","0.87153134635149","5"
"Acinetobacter","6","7","15.4502009580844","4.14570734458505","3.72679489261701","1.89793542128117","0.731672917664168","0.731672917664168","1","Control","0.515930113052415","0.87153134635149","6"
"Acinetobacter","7","8","12.0834330983156","1.92191239309029","6.28719245568023","2.65241592577039","0.840946494472816","0.840946494472816","1","Control","0.493319630010278","0.87153134635149","7"
"Acinetobacter","8","9","9.31317614877506","0.890981141420933","10.4527197219039","3.38580646482952","0.904331118923577","0.904331118923577","1","Control","0.534429599177801","0.87153134635149","8"
"Acinetobacter","9","10","7.12005828212392","0.413050760203301","17.2377319403055","4.10749805877324","0.941987727651002","0.941987727651002","1","Control","0.630010277492292","0.87153134635149","9"
