"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Defluviimonas","0","1","62.2902102133981","94.5374558205612","0.658894505598176","-0.601880598445591","-0.341105494401824","0.341105494401824","-1","TDA","0.30974358974359","0.744615384615385","0"
"Defluviimonas","1","2","65.1860188314868","96.6612296718028","0.674376055972131","-0.568374781240087","-0.325623944027868","0.325623944027868","-1","TDA","0.324102564102564","0.744615384615385","1"
"Defluviimonas","2","3","68.2168353396995","98.7195235590913","0.691016658917184","-0.533207603597266","-0.308983341082817","0.308983341082817","-1","TDA","0.323076923076923","0.744615384615385","2"
"Defluviimonas","3","4","71.3890294142284","100.039909525783","0.71360549757224","-0.486801365153729","-0.28639450242776","0.28639450242776","-1","TDA","0.372307692307692","0.744615384615385","3"
"Defluviimonas","4","5","74.7093098941206","99.0276590150456","0.754428718574169","-0.406543499261503","-0.245571281425831","0.245571281425831","-1","TDA","0.541538461538462","0.773626373626374","4"
"Defluviimonas","5","6","78.1846837913729","93.6272806134835","0.835063063661313","-0.260042941377439","-0.164936936338686","0.164936936338686","-1","TDA","0.718974358974359","0.876353276353276","5"
"Defluviimonas","6","7","81.8222057511619","84.9107733869685","0.963625727188576","-0.0534551832621038","-0.0363742728114235","0.0363742728114235","-1","TDA","0.931282051282051","0.931282051282051","6"
"Defluviimonas","7","8","85.6290148524317","76.3630260273441","1.12134129967256","0.165225454239268","0.108210854008493","0.108210854008493","1","Control","0.788717948717949","0.876353276353276","7"
"Defluviimonas","8","9","89.6127707051204","69.5958788802974","1.2876160506465","0.364702465808141","0.223370973437374","0.223370973437374","1","Control","0.541538461538462","0.773626373626374","8"
"Defluviimonas","9","10","93.7817197521294","64.237971875719","1.45991096875799","0.545880390442418","0.315026723272896","0.315026723272896","1","Control","0.357948717948718","0.744615384615385","9"
