"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"GKS98 freshwater group","0","1","1262.59484125752","694.244497215571","1.81866020734979","0.862876019644791","0.450144674657377","0.450144674657377","1","Control","0.206611570247934","0.783057851239669","0"
"GKS98 freshwater group","1","2","1015.28915036576","705.072209673024","1.43997896447599","0.526047736620484","0.305545410960987","0.305545410960987","1","Control","0.328512396694215","0.783057851239669","1"
"GKS98 freshwater group","2","3","868.061269243584","603.803021030955","1.43765638628542","0.52371889897653","0.304423498174155","0.304423498174155","1","Control","0.339876033057851","0.783057851239669","2"
"GKS98 freshwater group","3","4","795.450113601482","614.614161038736","1.29422679141841","0.372090447458431","0.227337892685681","0.227337892685681","1","Control","0.391528925619835","0.783057851239669","3"
"GKS98 freshwater group","4","5","780.195074355526","837.005273799623","0.93212683214503","-0.101401822778972","-0.0678731678549698","0.0678731678549698","-1","TDA","0.804752066115702","0.894168962350781","4"
"GKS98 freshwater group","5","6","814.660889301071","1084.63420061486","0.751092754441316","-0.412937013899484","-0.248907245558683","0.248907245558683","-1","TDA","0.37396694214876","0.783057851239669","5"
"GKS98 freshwater group","6","7","900.952794143279","1123.06809807355","0.802224545144432","-0.317921986854589","-0.197775454855568","0.197775454855568","-1","TDA","0.525826446280992","0.87637741046832","6"
"GKS98 freshwater group","7","8","1011.63896847666","1022.94752066023","0.988945129681461","-0.0160376177174189","-0.0110548703185393","0.0110548703185393","-1","TDA","0.96900826446281","0.96900826446281","7"
"GKS98 freshwater group","8","9","1082.76214355081","981.210033508188","1.10349681166583","0.142082461243685","0.0937898601714989","0.0937898601714989","1","Control","0.788223140495868","0.894168962350781","8"
"GKS98 freshwater group","9","10","1068.50235661649","939.777279223011","1.13697402590953","0.185199296341388","0.120472431900946","0.120472431900946","1","Control","0.745867768595041","0.894168962350781","9"
