"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Halomonas","0","1","64.2683508521118","1197.60906691031","0.0536638813347636","-4.21990478594202","-0.946336118665236","0.946336118665236","-1","TDA","0.0186335403726708","0.0245859213250518","0"
"Halomonas","1","2","48.8184290711785","1011.02593784569","0.0482860303022507","-4.37225032843163","-0.951713969697749","0.951713969697749","-1","TDA","0.0186335403726708","0.0245859213250518","1"
"Halomonas","2","3","37.1296335167037","903.790563839561","0.0410821212372105","-4.6053455139756","-0.958917878762789","0.958917878762789","-1","TDA","0.0144927536231884","0.0245859213250518","2"
"Halomonas","3","4","28.4768202848926","828.386514826996","0.0343762480136943","-4.86244409892689","-0.965623751986306","0.965623751986306","-1","TDA","0.005175983436853","0.0245859213250518","3"
"Halomonas","4","5","22.1473943158039","739.690389827915","0.0299414384996354","-5.06171265420216","-0.970058561500365","0.970058561500365","-1","TDA","0.0279503105590062","0.031055900621118","4"
"Halomonas","5","6","17.5101147890761","619.364237960556","0.0282711104643908","-5.14452763769848","-0.971728889535609","0.971728889535609","-1","TDA","0.0196687370600414","0.0245859213250518","5"
"Halomonas","6","7","14.0451194968325","497.643844439559","0.0282232356609374","-5.14697279417151","-0.971776764339063","0.971776764339063","-1","TDA","0.0072463768115942","0.0245859213250518","6"
"Halomonas","7","8","11.3612564636869","400.905111396765","0.0283390162427811","-5.14106651219257","-0.971660983757219","0.971660983757219","-1","TDA","0.015527950310559","0.0245859213250518","7"
"Halomonas","8","9","9.20722640130064","327.009252964792","0.028155858948407","-5.15042102603787","-0.971844141051593","0.971844141051593","-1","TDA","0.0093167701863354","0.0245859213250518","8"
"Halomonas","9","10","7.45586666806083","273.710388080126","0.0272399842781203","-5.19813031909304","-0.97276001572188","0.97276001572188","-1","TDA","0.0383022774327122","0.0383022774327122","9"
