"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Henriciella","0","1","406.293208969275","2903.81975175659","0.139916814300715","-2.83735874817727","-0.860083185699285","0.860083185699285","-1","TDA","0.0257466529351184","0.257466529351184","0"
"Henriciella","1","2","624.059546964457","2572.89115751951","0.242551864326086","-2.04363482632696","-0.757448135673914","0.757448135673914","-1","TDA","0.0772399588053553","0.386199794026777","1"
"Henriciella","2","3","877.998359722385","2289.91818367741","0.38341909592263","-1.38300590366423","-0.61658090407737","0.61658090407737","-1","TDA","0.233779608650875","0.779265362169585","2"
"Henriciella","3","4","1142.33210278661","1968.55698749175","0.580289069630703","-0.785156340454296","-0.419710930369297","0.419710930369297","-1","TDA","0.473738414006179","0.8261814852958","3"
"Henriciella","4","5","1203.19440067508","1594.7426581065","0.754475585486423","-0.406453878386634","-0.245524414513577","0.245524414513577","-1","TDA","0.668383110195675","0.8261814852958","4"
"Henriciella","5","6","997.502143653774","1246.85310670818","0.800015766321731","-0.321899662674813","-0.199984233678268","0.199984233678268","-1","TDA","0.583934088568486","0.8261814852958","5"
"Henriciella","6","7","771.578445147639","984.308677586198","0.783878535989103","-0.351297972564821","-0.216121464010897","0.216121464010897","-1","TDA","0.601441812564367","0.8261814852958","6"
"Henriciella","7","8","688.588719345002","803.608230416036","0.856871163438076","-0.22284979351556","-0.143128836561924","0.143128836561924","-1","TDA","0.74356333676622","0.8261814852958","7"
"Henriciella","8","9","723.340245924193","676.219212806834","1.06968307351365","0.0971834171895391","0.0651436628652585","0.0651436628652585","1","Control","0.905252317198764","0.905252317198764","8"
"Henriciella","9","10","756.852369357587","580.769650489715","1.30318856834099","0.38204585361227","0.232651341261349","0.232651341261349","1","Control","0.712667353244078","0.8261814852958","9"
