"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Hoeflea","0","1","3199.43022236019","2364.65622842866","1.35302129074646","0.436184541319371","0.260913330160308","0.260913330160308","1","Control","0.638144329896907","0.797680412371134","0"
"Hoeflea","1","2","2699.66401400892","2729.1225034367","0.989205875005361","-0.0156572868053566","-0.010794124994639","0.010794124994639","-1","TDA","0.978350515463917","0.978350515463917","1"
"Hoeflea","2","3","2396.0017240585","2916.90430114413","0.821419380511967","-0.283809108321968","-0.178580619488033","0.178580619488033","-1","TDA","0.498969072164948","0.78939617083947","2"
"Hoeflea","3","4","2327.06183271703","2810.86849903294","0.827880007021899","-0.272506416316585","-0.172119992978101","0.172119992978101","-1","TDA","0.552577319587629","0.78939617083947","3"
"Hoeflea","4","5","2452.34410602971","2476.28970152385","0.99033005085011","-0.0140186774025414","-0.00966994914989051","0.00966994914989051","-1","TDA","0.974226804123711","0.978350515463917","4"
"Hoeflea","5","6","2672.87394393353","2060.36674002543","1.29728066950864","0.37549064358527","0.229156786573595","0.229156786573595","1","Control","0.452577319587629","0.78939617083947","5"
"Hoeflea","6","7","2888.55048074947","1751.19358172447","1.64947525555969","0.722007135617859","0.393746589026167","0.393746589026167","1","Control","0.277319587628866","0.78939617083947","6"
"Hoeflea","7","8","2971.12319724226","1628.09063124959","1.82491265548397","0.867827414942965","0.452028568603027","0.452028568603027","1","Control","0.327835051546392","0.78939617083947","7"
"Hoeflea","8","9","2829.87670594949","1613.22784109036","1.7541705107425","0.810788988972212","0.429929990342431","0.429929990342431","1","Control","0.406185567010309","0.78939617083947","8"
"Hoeflea","9","10","2561.14544520729","1650.45580603682","1.55178068739524","0.633924676362237","0.355579040180889","0.355579040180889","1","Control","0.430927835051546","0.78939617083947","9"
