"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Jejuia","0","1","17026.820103231","21194.5573936726","0.803358135155689","-0.31588481370935","-0.196641864844311","0.196641864844311","-1","TDA","0.414959016393443","0.866803278688525","0"
"Jejuia","1","2","19108.5781342572","22367.7617068345","0.854291027627435","-0.22720046463165","-0.145708972372565","0.145708972372565","-1","TDA","0.433401639344262","0.866803278688525","1"
"Jejuia","2","3","18435.6073154839","23842.3231730527","0.773230325823297","-0.371029874233037","-0.226769674176703","0.226769674176703","-1","TDA","0.20594262295082","0.686475409836066","2"
"Jejuia","3","4","15745.0337876083","24636.5009456908","0.639093750460627","-0.645900515195847","-0.360906249539373","0.360906249539373","-1","TDA","0.0430327868852459","0.430327868852459","3"
"Jejuia","4","5","16845.3858313251","24036.7044457723","0.700819277007332","-0.512885636072149","-0.299180722992668","0.299180722992668","-1","TDA","0.109631147540984","0.548155737704918","4"
"Jejuia","5","6","20721.9054180152","22472.0235323563","0.922120136986274","-0.116973372710618","-0.0778798630137249","0.0778798630137249","-1","TDA","0.653688524590164","0.908469945355191","5"
"Jejuia","6","7","21838.7761466757","20855.8927788752","1.04712736962266","0.0664369383019205","0.0450063392380224","0.0450063392380224","1","Control","0.817622950819672","0.908469945355191","6"
"Jejuia","7","8","20242.9263012097","19706.0374595353","1.02724489095166","0.0387801552152012","0.0265222939453332","0.0265222939453332","1","Control","0.908811475409836","0.908811475409836","7"
"Jejuia","8","9","20267.4983492572","19097.9501628407","1.06123946164087","0.0857502275460962","0.0577056016614627","0.0577056016614627","1","Control","0.801229508196721","0.908469945355191","8"
"Jejuia","9","10","22009.4384914291","18959.4284981122","1.16087035501205","0.215206862276752","0.138577365092918","0.138577365092918","1","Control","0.622950819672131","0.908469945355191","9"
