"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Methylophaga","0","1","19.1196542262165","47.1750971899094","0.405291252485349","-1.30296905725784","-0.594708747514651","0.594708747514651","-1","TDA","0.36652977412731","0.61088295687885","0"
"Methylophaga","1","2","19.6473697262084","46.4359998009157","0.423106421966625","-1.24090751160603","-0.576893578033375","0.576893578033375","-1","TDA","0.282340862422998","0.61088295687885","1"
"Methylophaga","2","3","20.1896412099423","45.0868095043567","0.447794852461038","-1.15909015082284","-0.552205147538961","0.552205147538961","-1","TDA","0.21047227926078","0.61088295687885","2"
"Methylophaga","3","4","20.7468497591625","43.0199516431436","0.482261112965921","-1.05211361154072","-0.517738887034079","0.517738887034079","-1","TDA","0.17864476386037","0.61088295687885","3"
"Methylophaga","4","5","21.3193947004906","39.9739196047703","0.533332605640866","-0.906892564056699","-0.466667394359134","0.466667394359134","-1","TDA","0.236139630390144","0.61088295687885","4"
"Methylophaga","5","6","21.9077046041809","35.6263986059949","0.614928970128753","-0.701508319169044","-0.385071029871247","0.385071029871247","-1","TDA","0.36652977412731","0.61088295687885","5"
"Methylophaga","6","7","22.5122171598589","30.4523133513995","0.739261313256658","-0.435843678145566","-0.260738686743341","0.260738686743341","-1","TDA","0.573921971252567","0.753336755646817","6"
"Methylophaga","7","8","23.1333689944415","25.4119933998287","0.910332716936619","-0.135534163482971","-0.0896672830633819","0.0896672830633819","-1","TDA","0.863449691991786","0.863449691991786","7"
"Methylophaga","8","9","23.7716199274993","20.9894213281152","1.13255242037842","0.179577827198454","0.11703866239951","0.11703866239951","1","Control","0.822381930184805","0.863449691991786","8"
"Methylophaga","9","10","24.4274581188606","17.296401081336","1.41228559652329","0.498031864121989","0.291927919918064","0.291927919918064","1","Control","0.602669404517454","0.753336755646817","9"
