"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Oceanicaulis","0","1","836.509419805578","1532.38684629924","0.545886583290486","-0.873326855685695","-0.454113416709514","0.454113416709514","-1","TDA","0.309917355371901","0.619834710743802","0"
"Oceanicaulis","1","2","770.907300511683","1556.57521003097","0.495258626466463","-1.0137459905409","-0.504741373533537","0.504741373533537","-1","TDA","0.201446280991736","0.619834710743802","1"
"Oceanicaulis","2","3","734.756891500638","1559.28025333753","0.471215414886416","-1.08554136001349","-0.528784585113584","0.528784585113584","-1","TDA","0.138429752066116","0.619834710743802","2"
"Oceanicaulis","3","4","733.224791692151","1547.36028805797","0.47385524712696","-1.07748168164166","-0.52614475287304","0.52614475287304","-1","TDA","0.175619834710744","0.619834710743802","3"
"Oceanicaulis","4","5","774.13741692843","1515.96607764462","0.510656160678224","-0.969575884450467","-0.489343839321776","0.489343839321776","-1","TDA","0.264462809917355","0.619834710743802","4"
"Oceanicaulis","5","6","861.769751281317","1418.50388777167","0.607520189905909","-0.718995739842823","-0.39247981009409","0.39247981009409","-1","TDA","0.403925619834711","0.673209366391185","5"
"Oceanicaulis","6","7","980.651353898228","1272.73869114797","0.770504865388912","-0.376124028153409","-0.229495134611087","0.229495134611087","-1","TDA","0.668388429752066","0.954840613931523","6"
"Oceanicaulis","7","8","1082.624770761","1162.53085586954","0.931265407102873","-0.102735705896838","-0.0687345928971267","0.0687345928971267","-1","TDA","0.909090909090909","1","7"
"Oceanicaulis","8","9","1124.97217372251","1125.47225387656","0.999555670828559","-0.000641173948855479","-0.000444329171440777","0.000444329171440777","-1","TDA","1","1","8"
"Oceanicaulis","9","10","1111.59950237547","1147.03284842296","0.969108691092664","-0.0452696136571369","-0.0308913089073362","0.0308913089073362","-1","TDA","0.961776859504132","1","9"
