"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Roseicyclus","0","1","1737.91149301878","1874.99654863167","0.92688783576005","-0.109533328402605","-0.0731121642399505","0.0731121642399505","-1","TDA","0.836251287332647","0.879505664263646","0"
"Roseicyclus","1","2","1955.46422007575","1849.53076728726","1.05727585323918","0.0803518385733122","0.0541730458174191","0.0541730458174191","1","Control","0.879505664263646","0.879505664263646","1"
"Roseicyclus","2","3","1538.81553423981","1824.79095472078","0.843283188279102","-0.245910901776224","-0.156716811720898","0.156716811720898","-1","TDA","0.614830072090628","0.879505664263646","2"
"Roseicyclus","3","4","1673.2491895462","1801.78972352206","0.928659525416433","-0.106778336844349","-0.0713404745835668","0.0713404745835668","-1","TDA","0.848609680741504","0.879505664263646","3"
"Roseicyclus","4","5","1614.71781424487","1781.9035221847","0.906175780081038","-0.14213716332091","-0.0938242199189625","0.0938242199189625","-1","TDA","0.799176107106076","0.879505664263646","4"
"Roseicyclus","5","6","1119.19923562437","1765.84470759776","0.633803884797389","-0.657891592376507","-0.366196115202611","0.366196115202611","-1","TDA","0.192584963954686","0.879505664263646","5"
"Roseicyclus","6","7","1268.74699688496","1753.51206795019","0.723546201976294","-0.466842952029607","-0.276453798023706","0.276453798023706","-1","TDA","0.377960865087539","0.879505664263646","6"
"Roseicyclus","7","8","1499.3014564831","1743.98763130215","0.859697299208276","-0.218099320891607","-0.140302700791723","0.140302700791723","-1","TDA","0.830072090628218","0.879505664263646","7"
"Roseicyclus","8","9","1285.22702454151","1735.64608760586","0.740489108764303","-0.433449578613322","-0.259510891235697","0.259510891235697","-1","TDA","0.623069001029866","0.879505664263646","8"
"Roseicyclus","9","10","1391.183503185","1727.31334163888","0.805403090249418","-0.312217087119517","-0.194596909750583","0.194596909750583","-1","TDA","0.643666323377961","0.879505664263646","9"
