"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Roseitalea","0","1","11.9340296680188","12.1715029036161","0.980489407308379","-0.0284260505038191","-0.0195105926916209","0.0195105926916209","-1","TDA","0.979338842975207","0.989669421487603","0"
"Roseitalea","1","2","12.6092909073405","12.5300390409314","1.00632494967894","0.0090962371436328","0.00628519612969798","0.00628519612969798","1","Control","0.989669421487603","0.989669421487603","1"
"Roseitalea","2","3","13.3226894750499","12.899124063763","1.03283675768937","0.04661225083182","0.0317927856894152","0.0317927856894152","1","Control","0.947314049586777","0.989669421487603","2"
"Roseitalea","3","4","14.076408067314","13.2790615226334","1.06004539878979","0.0841260527189924","0.0566441766157742","0.0566441766157742","1","Control","0.872933884297521","0.989669421487603","3"
"Roseitalea","4","5","14.8727232431181","13.6701750613851","1.08796874775437","0.121637115313107","0.0808559509966998","0.0808559509966998","1","Control","0.787190082644628","0.989669421487603","4"
"Roseitalea","5","6","15.7140132947928","14.0728163245936","1.11662178574242","0.15914060906889","0.104441617772024","0.104441617772024","1","Control","0.733471074380165","0.989669421487603","5"
"Roseitalea","6","7","16.6026570876573","14.4873394551849","1.14601146325147","0.196621475066319","0.127408379351816","0.127408379351816","1","Control","0.672520661157025","0.989669421487603","6"
"Roseitalea","7","8","17.5410643843266","14.9141045369164","1.17613929424377","0.234058933655651","0.14976057266841","0.14976057266841","1","Control","0.632231404958678","0.989669421487603","7"
"Roseitalea","8","9","18.5319026836347","15.3534857191002","1.20701598468812","0.271444782039561","0.171510557701197","0.171510557701197","1","Control","0.639462809917355","0.989669421487603","8"
"Roseitalea","9","10","19.5782507422269","15.8058489048584","1.23867125771454","0.308793348256995","0.192683293673022","0.192683293673022","1","Control","0.660123966942149","0.989669421487603","9"
