"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"SM1A02","0","1","12114.9218854057","16792.7521841476","0.721437543563717","-0.47105359205045","-0.278562456436283","0.278562456436283","-1","TDA","0.496380558428128","0.667011375387797","0"
"SM1A02","1","2","13065.1230904014","15642.5545775042","0.835229503318502","-0.259755420887226","-0.164770496681498","0.164770496681498","-1","TDA","0.460186142709411","0.667011375387797","1"
"SM1A02","2","3","12693.9738212148","14509.0563673412","0.874900027943103","-0.192809920720346","-0.125099972056898","0.125099972056898","-1","TDA","0.525336091003102","0.667011375387797","2"
"SM1A02","3","4","11941.9084296986","13333.6579807144","0.895621325143573","-0.159039215074918","-0.104378674856427","0.104378674856427","-1","TDA","0.533609100310238","0.667011375387797","3"
"SM1A02","4","5","10365.405396517","12355.7100112426","0.838916208545317","-0.253401374273512","-0.161083791454683","0.161083791454683","-1","TDA","0.335056876938987","0.667011375387797","4"
"SM1A02","5","6","8804.8969839548","11628.4449790057","0.757186106986049","-0.401280154482576","-0.242813893013951","0.242813893013951","-1","TDA","0.110651499482937","0.667011375387797","5"
"SM1A02","6","7","9580.60204147953","11128.1655340376","0.860932739738229","-0.216027563230948","-0.139067260261771","0.139067260261771","-1","TDA","0.431230610134436","0.667011375387797","6"
"SM1A02","7","8","10690.0295148159","10774.7130664339","0.992140528374552","-0.0113836141641111","-0.00785947162544842","0.00785947162544842","-1","TDA","0.975180972078594","0.975180972078594","7"
"SM1A02","8","9","11224.3728890725","10377.9221990077","1.08156263593358","0.113117217712372","0.0754118469183067","0.0754118469183067","1","Control","0.751809720785936","0.835344134206595","8"
"SM1A02","9","10","12315.5814257721","9815.06151135737","1.25476355003189","0.327415525661684","0.203037098125313","0.203037098125313","1","Control","0.50258531540848","0.667011375387797","9"
