"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Sphingorhabdus","0","1","273.358358083183","92.0426598193667","2.96990937267184","1.57041890759447","0.663289388827255","0.663289388827255","1","Control","0.574074074074074","0.718878600823045","0"
"Sphingorhabdus","1","2","242.68170359504","97.7900267338519","2.48166108242847","1.31130610173492","0.597044089911974","0.597044089911974","1","Control","0.429012345679012","0.715020576131687","1"
"Sphingorhabdus","2","3","216.653530085867","66.2223729498527","3.27160626288535","1.70999913068698","0.694339746397825","0.694339746397825","1","Control","0.148148148148148","0.37037037037037","2"
"Sphingorhabdus","3","4","194.693924124597","78.1413237289155","2.4915616326135","1.31705026174615","0.598645288597153","0.598645288597153","1","Control","0.218106995884774","0.436213991769547","3"
"Sphingorhabdus","4","5","176.294885727828","166.283131283871","1.06020908054026","0.084348802254453","0.0567898178249723","0.0567898178249723","1","Control","0.926954732510288","0.963991769547325","4"
"Sphingorhabdus","5","6","161.016593728214","155.948984886901","1.03249529867083","0.0461352125408779","0.0314725875388136","0.0314725875388136","1","Control","0.963991769547325","0.963991769547325","5"
"Sphingorhabdus","6","7","148.141455065214","51.9738561040934","2.85030717691055","1.51111740654928","0.649160620967211","0.649160620967211","1","Control","0.0977366255144033","0.325788751714678","6"
"Sphingorhabdus","7","8","136.818069649523","23.5875806329095","5.80042827532018","2.53615942573499","0.827598937089727","0.827598937089727","1","Control","0.0102880658436214","0.0925925925925926","7"
"Sphingorhabdus","8","9","126.451168514301","31.2487665942093","4.0465971075394","2.01670921671438","0.752878783475415","0.752878783475415","1","Control","0.0185185185185185","0.0925925925925926","8"
"Sphingorhabdus","9","10","116.7704334594","78.0651082303845","1.49580825680519","0.580925252307428","0.331465115631972","0.331465115631972","1","Control","0.575102880658436","0.718878600823045","9"
