"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Winogradskyella","0","1","1301.2220505277","2375.31798143951","0.547809624098886","-0.868253482882462","-0.452190375901114","0.452190375901114","-1","TDA","0.0451745379876797","0.150581793292266","0"
"Winogradskyella","1","2","1297.98316983998","2116.89143614042","0.613155284054859","-0.705675606345629","-0.386844715945141","0.386844715945141","-1","TDA","0.013347022587269","0.13347022587269","1"
"Winogradskyella","2","3","1403.44614147083","2181.01939233415","0.643481734460348","-0.63602889745533","-0.356518265539653","0.356518265539653","-1","TDA","0.0420944558521561","0.150581793292266","2"
"Winogradskyella","3","4","1687.09500880273","2364.46207917878","0.713521702741238","-0.486970782970517","-0.286478297258762","0.286478297258762","-1","TDA","0.162217659137577","0.405544147843942","3"
"Winogradskyella","4","5","2152.09799167201","2542.70618643595","0.846380916187785","-0.240620996300773","-0.153619083812214","0.153619083812214","-1","TDA","0.498973305954825","0.632700205338809","4"
"Winogradskyella","5","6","2565.78495767447","2663.052486262","0.963475174038325","-0.0536806019556039","-0.0365248259616755","0.0365248259616755","-1","TDA","0.886036960985626","0.886036960985626","5"
"Winogradskyella","6","7","2612.51726315493","2785.31837383104","0.937960014804904","-0.0924016728633865","-0.0620399851950958","0.0620399851950958","-1","TDA","0.774127310061602","0.860141455624002","6"
"Winogradskyella","7","8","2318.48301521055","2709.76526935497","0.855602897206829","-0.224986727182386","-0.14439710279317","0.14439710279317","-1","TDA","0.506160164271047","0.632700205338809","7"
"Winogradskyella","8","9","1991.55232434812","2474.67044963293","0.804774762895611","-0.313343030817764","-0.195225237104388","0.195225237104388","-1","TDA","0.392197125256673","0.632700205338809","8"
"Winogradskyella","9","10","1835.50345600964","2741.87752624206","0.669433057619219","-0.578988299635645","-0.330566942380781","0.330566942380781","-1","TDA","0.316221765913758","0.632443531827515","9"
