"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Yoonia-Loktanella","0","1","53.4308493622472","123.472830104208","0.432733657413967","-1.20844875897663","-0.567266342586033","0.567266342586033","-1","TDA","0.274691358024691","0.457818930041152","0"
"Yoonia-Loktanella","1","2","41.1163717861586","101.66028893993","0.404448700814276","-1.30597136818811","-0.595551299185724","0.595551299185724","-1","TDA","0.174897119341564","0.457818930041152","1"
"Yoonia-Loktanella","2","3","34.51007490742","83.7009918604259","0.412301863339525","-1.27822711359197","-0.587698136660475","0.587698136660475","-1","TDA","0.156378600823045","0.457818930041152","2"
"Yoonia-Loktanella","3","4","32.1284816031271","68.9141946298352","0.466209926354093","-1.10094837281147","-0.533790073645907","0.533790073645907","-1","TDA","0.231481481481481","0.457818930041152","3"
"Yoonia-Loktanella","4","5","33.7892486768181","56.7394076923792","0.595516415328326","-0.747786818558902","-0.404483584671674","0.404483584671674","-1","TDA","0.424897119341564","0.531121399176955","4"
"Yoonia-Loktanella","5","6","40.6498064342109","46.7151681820556","0.870162904600768","-0.200642579375535","-0.129837095399232","0.129837095399232","-1","TDA","0.852880658436214","0.852880658436214","5"
"Yoonia-Loktanella","6","7","51.7532154806654","38.4616486053154","1.34557974910917","0.428227898399199","0.25682591413698","0.25682591413698","1","Control","0.669753086419753","0.744170096021948","6"
"Yoonia-Loktanella","7","8","59.6536906574509","31.6661860460444","1.88382934941111","0.913668281347135","0.469166355056202","0.469166355056202","1","Control","0.388888888888889","0.531121399176955","7"
"Yoonia-Loktanella","8","9","58.650405196155","26.0712881026553","2.24961670344863","1.16967921160214","0.555479829756326","0.555479829756326","1","Control","0.274691358024691","0.457818930041152","8"
"Yoonia-Loktanella","9","10","51.7281759592891","21.4648929401907","2.4098967604182","1.26897134296022","0.585044464798374","0.585044464798374","1","Control","0.274691358024691","0.457818930041152","9"
