"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Algoriphagus","0","1","8866.76994494972","7008.84974549952","1.26508204154943","0.339230947843319","0.209537431441809","0.209537431441809","1","NoTDA","0.433021806853583","0.78920041536864","0"
"Algoriphagus","1","2","7141.51819481192","7066.09790051588","1.01067354222343","0.0153170673965915","0.0105608208561066","0.0105608208561066","1","NoTDA","0.952232606438214","0.952232606438214","1"
"Algoriphagus","2","3","6384.85871905444","7098.64781621362","0.899447174216919","-0.152889542408094","-0.100552825783081","0.100552825783081","-1","TDA","0.59086188992731","0.844088414181872","2"
"Algoriphagus","3","4","6168.22461913098","7104.40965198487","0.868224795765778","-0.203859469558146","-0.131775204234222","0.131775204234222","-1","TDA","0.35202492211838","0.78920041536864","3"
"Algoriphagus","4","5","6149.14522036536","7053.32641459221","0.871807833484603","-0.197917928040352","-0.128192166515397","0.128192166515397","-1","TDA","0.315680166147456","0.78920041536864","4"
"Algoriphagus","5","6","6228.25006024354","6898.58842077098","0.902829634174273","-0.147474321046801","-0.0971703658257264","0.0971703658257264","-1","TDA","0.473520249221184","0.78920041536864","5"
"Algoriphagus","6","7","6389.39328257512","6630.17248047488","0.963684323656913","-0.0533674580574607","-0.0363156763430884","0.0363156763430884","-1","TDA","0.780893042575286","0.867658936194762","6"
"Algoriphagus","7","8","6612.99205458516","6282.86328667756","1.05254431822631","0.0738809804073287","0.0499212406702814","0.0499212406702814","1","NoTDA","0.772585669781931","0.867658936194762","7"
"Algoriphagus","8","9","6862.74926321737","5902.94477487295","1.16259757205082","0.217351800785568","0.139857140561543","0.139857140561543","1","NoTDA","0.318795430944964","0.78920041536864","8"
"Algoriphagus","9","10","7054.62190751028","5524.68789943049","1.27692677594285","0.352675797544186","0.216869738469051","0.216869738469051","1","NoTDA","0.122533748701973","0.78920041536864","9"
