"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Cohaesibacter","0","1","265.840850400951","117.793023775261","2.25684715342866","1.17430871429517","0.556903976203805","0.556903976203805","1","NoTDA","0.481865284974093","0.481865284974093","0"
"Cohaesibacter","1","2","256.172863986713","105.836698561265","2.42045403408369","1.27527769678948","0.586854372808377","0.586854372808377","1","NoTDA","0.381347150259067","0.423719055843408","1"
"Cohaesibacter","2","3","246.867097836681","94.6143329940623","2.60919344907472","1.38360391145108","0.616739801200013","0.616739801200013","1","NoTDA","0.186528497409326","0.233160621761658","2"
"Cohaesibacter","3","4","237.921751480588","85.2068237608065","2.79228518303281","1.48144629510637","0.641870391292246","0.641870391292246","1","NoTDA","0.0300518134715026","0.0429311621021466","3"
"Cohaesibacter","4","5","229.324277784924","76.3022189667422","3.00547324691671","1.58759217803246","0.667273697735991","0.667273697735991","1","NoTDA","0.00310880829015544","0.00518134715025907","4"
"Cohaesibacter","5","6","221.057963818615","65.7640521569763","3.36137991148961","1.74905360883076","0.70250313075833","0.70250313075833","1","NoTDA","0.00207253886010363","0.00518134715025907","5"
"Cohaesibacter","6","7","213.108754230316","54.4052300568989","3.91706374566267","1.96977260666576","0.744706733172956","0.744706733172956","1","NoTDA","0","0","6"
"Cohaesibacter","7","8","205.463496751742","44.7436287953227","4.59201683644444","2.19912793160645","0.78223076360184","0.78223076360184","1","NoTDA","0.00310880829015544","0.00518134715025907","7"
"Cohaesibacter","8","9","198.10471298541","37.5187052540878","5.28015856740753","2.40058125552643","0.810611748258351","0.810611748258351","1","NoTDA","0","0","8"
"Cohaesibacter","9","10","191.013890193956","32.1660335299725","5.93837253872066","2.5700676024027","0.831603693860635","0.831603693860635","1","NoTDA","0","0","9"
