"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Defluviimonas","0","1","106.053941215378","126.613871632765","0.837617078190135","-0.25563723718283","-0.162382921809865","0.162382921809865","-1","TDA","0.870798319327731","0.871848739495798","0"
"Defluviimonas","1","2","82.120004762867","123.713456942456","0.663792014162732","-0.591196821899482","-0.336207985837268","0.336207985837268","-1","TDA","0.634453781512605","0.793067226890756","1"
"Defluviimonas","2","3","71.0879589871361","121.262079823763","0.586234040274189","-0.77045135287674","-0.41376595972581","0.41376595972581","-1","TDA","0.307773109243697","0.504201680672269","2"
"Defluviimonas","3","4","78.3677581338194","124.903610529057","0.627425883061951","-0.672483049297029","-0.372574116938049","0.372574116938049","-1","TDA","0.204831932773109","0.504201680672269","3"
"Defluviimonas","4","5","89.4671135652047","131.394891716038","0.680902525180015","-0.554479811341109","-0.319097474819984","0.319097474819984","-1","TDA","0.26890756302521","0.504201680672269","4"
"Defluviimonas","5","6","82.0832488153988","130.58052970814","0.628602510641233","-0.669780060608759","-0.371397489358767","0.371397489358767","-1","TDA","0.205882352941176","0.504201680672269","5"
"Defluviimonas","6","7","61.6024567015769","118.516785944117","0.519778326849191","-0.944031615750329","-0.480221673150808","0.480221673150808","-1","TDA","0.0430672268907563","0.430672268907563","6"
"Defluviimonas","7","8","49.9288560711693","99.9907059784917","0.499334969011112","-1.00192015106263","-0.500665030988889","0.500665030988889","-1","TDA","0.105042016806723","0.504201680672269","7"
"Defluviimonas","8","9","56.562089134115","82.6747832594393","0.684151647021791","-0.547611950832615","-0.315848352978208","0.315848352978208","-1","TDA","0.352941176470588","0.504201680672269","8"
"Defluviimonas","9","10","73.7263324771554","70.8964917947588","1.03991510173153","0.0564657521063035","0.0383830388317935","0.0383830388317935","1","NoTDA","0.871848739495798","0.871848739495798","9"
