"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Donghicola","0","1","126.473494603922","98.2540988476035","1.28720833112609","0.364245568678194","0.223124978436733","0.223124978436733","1","NoTDA","0.804145077720207","0.804145077720207","0"
"Donghicola","1","2","117.123423524038","72.2189359712897","1.62178273535628","0.697580559617577","0.383394595219737","0.383394595219737","1","NoTDA","0.590673575129534","0.656303972366149","1"
"Donghicola","2","3","109.07459567658","52.6586241498847","2.07135293482253","1.05057339321886","0.51722375111044","0.51722375111044","1","NoTDA","0.384455958549223","0.480569948186529","2"
"Donghicola","3","4","102.480839070499","38.0298250930645","2.69474915595098","1.43015098418053","0.628907945738979","0.628907945738979","1","NoTDA","0.166839378238342","0.238341968911917","3"
"Donghicola","4","5","97.1507385098796","26.8391881968088","3.61973461333793","1.85588392767964","0.723736652870843","0.723736652870843","1","NoTDA","0.0559585492227979","0.0932642487046632","4"
"Donghicola","5","6","92.7372056049391","18.0909533377327","5.12616465664719","2.35787981993132","0.804922380184709","0.804922380184709","1","NoTDA","0.0145077720207254","0.0414507772020725","5"
"Donghicola","6","7","88.9652555705441","11.5457707637233","7.70544101309133","2.94587753028867","0.87022157481953","0.87022157481953","1","NoTDA","0.00621761658031088","0.0414507772020725","6"
"Donghicola","7","8","85.6287827389181","7.09695112376278","12.0655731236765","3.59282454115365","0.917119560774309","0.917119560774309","1","NoTDA","0.0103626943005181","0.0414507772020725","7"
"Donghicola","8","9","82.5318580764976","4.28068618665335","19.2800533554227","4.26903713896028","0.948132923619802","0.948132923619802","1","NoTDA","0.016580310880829","0.0414507772020725","8"
"Donghicola","9","10","79.5543674426899","2.56515189881062","31.0135113166502","4.95482497047793","0.967755989001376","0.967755989001376","1","NoTDA","0.0362694300518135","0.0725388601036269","9"
