"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"GKS98 freshwater group","0","1","1102.83281821965","865.666251810787","1.27396998082432","0.349331283068207","0.215052147969018","0.215052147969018","1","NoTDA","0.574736842105263","0.916842105263158","0"
"GKS98 freshwater group","1","2","1065.52765416542","1020.41125063757","1.0442139416825","0.0624173258765527","0.0423418419517128","0.0423418419517128","1","NoTDA","0.916842105263158","0.916842105263158","1"
"GKS98 freshwater group","2","3","1042.53044946189","1120.09025209462","0.93075575607618","-0.10352546171884","-0.0692442439238202","0.0692442439238202","-1","TDA","0.863157894736842","0.916842105263158","2"
"GKS98 freshwater group","3","4","1055.04413604488","1162.43169061623","0.907618180544935","-0.139842586891525","-0.0923818194550651","0.0923818194550651","-1","TDA","0.744210526315789","0.916842105263158","3"
"GKS98 freshwater group","4","5","993.486312333368","1118.5690281394","0.888176131593689","-0.171082293334765","-0.111823868406311","0.111823868406311","-1","TDA","0.707368421052632","0.916842105263158","4"
"GKS98 freshwater group","5","6","817.506139987537","966.350982215592","0.845972276152923","-0.241317710161604","-0.154027723847078","0.154027723847078","-1","TDA","0.464210526315789","0.916842105263158","5"
"GKS98 freshwater group","6","7","674.384462178873","792.623294112815","0.850825943658031","-0.233064069797366","-0.149174056341968","0.149174056341968","-1","TDA","0.574736842105263","0.916842105263158","6"
"GKS98 freshwater group","7","8","676.309882587978","695.22934854245","0.972786727151067","-0.0398045503204689","-0.0272132728489333","0.0272132728489333","-1","TDA","0.907368421052632","0.916842105263158","7"
"GKS98 freshwater group","8","9","793.675359086191","686.660051313767","1.15584903704195","0.208952982844565","0.134835114316309","0.134835114316309","1","NoTDA","0.55578947368421","0.916842105263158","8"
"GKS98 freshwater group","9","10","999.482987451822","742.19228742177","1.34666312812793","0.429389001385371","0.257423791360385","0.257423791360385","1","NoTDA","0.534736842105263","0.916842105263158","9"
