"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Jejuia","0","1","19937.6832840175","34729.4640030452","0.574085545410932","-0.800662363658068","-0.425914454589067","0.425914454589067","-1","TDA","0.0260960334029228","0.245302713987474","0"
"Jejuia","1","2","21492.618197507","32261.6360957891","0.66619740343275","-0.585978363904212","-0.33380259656725","0.33380259656725","-1","TDA","0.0490605427974948","0.245302713987474","1"
"Jejuia","2","3","23092.2890318476","32222.4134012606","0.716652993811576","-0.48065336548559","-0.283347006188424","0.283347006188424","-1","TDA","0.132567849686848","0.331419624217119","2"
"Jejuia","3","4","24644.0499515477","29010.6035884631","0.849484219671598","-0.235340947257718","-0.150515780328402","0.150515780328402","-1","TDA","0.457202505219207","0.653146436027438","3"
"Jejuia","4","5","26036.0757025548","23864.6364652008","1.09098983093752","0.125637654434769","0.083401172364116","0.083401172364116","1","NoTDA","0.65866388308977","0.662839248434238","4"
"Jejuia","5","6","27119.6916227102","25102.5766290712","1.08035489836143","0.111505317943155","0.0743782422640033","0.0743782422640033","1","NoTDA","0.662839248434238","0.662839248434238","5"
"Jejuia","6","7","27769.4207786076","25599.3939289581","1.08476868068328","0.117387430862724","0.0781444765070915","0.0781444765070915","1","NoTDA","0.62839248434238","0.662839248434238","6"
"Jejuia","7","8","27998.3615744408","23903.0632380086","1.17132943571518","0.228146890041402","0.146269213844666","0.146269213844666","1","NoTDA","0.391440501043841","0.652400835073069","7"
"Jejuia","8","9","27940.099981466","20584.621988359","1.3573287863759","0.440770227772074","0.263258828636486","0.263258828636486","1","NoTDA","0.081419624217119","0.271398747390397","8"
"Jejuia","9","10","27721.9071145829","21781.7704012994","1.27271138221754","0.347905290682471","0.214275904205695","0.214275904205695","1","NoTDA","0.208768267223382","0.417536534446764","9"
