"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Roseobacter","0","1","533.536840361095","730.982903271517","0.729889629392491","-0.454249772218833","-0.270110370607509","0.270110370607509","-1","TDA","0.8625","0.990625","0"
"Roseobacter","1","2","453.771195327571","581.10565176423","0.780875549824593","-0.356835454275943","-0.219124450175407","0.219124450175407","-1","TDA","0.889583333333333","0.990625","1"
"Roseobacter","2","3","389.515491406078","461.955083188157","0.843189101238715","-0.246071875552743","-0.156810898761285","0.156810898761285","-1","TDA","0.886458333333333","0.990625","2"
"Roseobacter","3","4","338.123910331724","367.232202155047","0.920736003943811","-0.11914053292181","-0.0792639960561885","0.0792639960561885","-1","TDA","0.930208333333333","0.990625","3"
"Roseobacter","4","5","293.754679920026","291.92733784607","1.00625957845345","0.0090025161182148","0.0062206398701566","0.0062206398701566","1","NoTDA","0.990625","0.990625","4"
"Roseobacter","5","6","250.690282785272","232.057704909817","1.08029286458166","0.111422476280575","0.0743250901807573","0.0743250901807573","1","NoTDA","0.907291666666667","0.990625","5"
"Roseobacter","6","7","208.042494495588","184.460390606081","1.12784372738247","0.173567183562136","0.113352341533316","0.113352341533316","1","NoTDA","0.813541666666667","0.990625","6"
"Roseobacter","7","8","168.665310694253","146.622879816643","1.15033418321325","0.202053038932096","0.130687399720071","0.130687399720071","1","NoTDA","0.783333333333333","0.990625","7"
"Roseobacter","8","9","134.634025320328","116.546033254809","1.15520040931786","0.208143158522571","0.134349337193796","0.134349337193796","1","NoTDA","0.790625","0.990625","8"
"Roseobacter","9","10","106.515547121148","92.6389359983219","1.149792427701","0.201373434599318","0.13027779979427","0.13027779979427","1","NoTDA","0.808333333333333","0.990625","9"
