"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"SM1A02","0","1","10318.6916156905","12891.0374251865","0.800454709372719","-0.321108319143785","-0.199545290627281","0.199545290627281","-1","TDA","0.363070539419087","0.966804979253112","0"
"SM1A02","1","2","13427.0357381651","13229.2306421717","1.01495212392494","0.0214116759768629","0.0147318514563242","0.0147318514563242","1","NoTDA","0.950207468879668","0.966804979253112","1"
"SM1A02","2","3","15829.284371118","13387.3011374206","1.18241042078837","0.241730889374654","0.154269970546053","0.154269970546053","1","NoTDA","0.510373443983402","0.966804979253112","2"
"SM1A02","3","4","16348.9095065518","13358.8864238559","1.22382277892238","0.291394657310737","0.182888227590818","0.182888227590818","1","NoTDA","0.405601659751037","0.966804979253112","3"
"SM1A02","4","5","15403.1296319637","13207.8246287489","1.16621245851769","0.221830640106321","0.142523308942311","0.142523308942311","1","NoTDA","0.455394190871369","0.966804979253112","4"
"SM1A02","5","6","13985.4023733508","12938.9665503909","1.08087476066071","0.112199369843151","0.0748234333932236","0.0748234333932236","1","NoTDA","0.70643153526971","0.966804979253112","5"
"SM1A02","6","7","12800.4206326155","12576.6882622884","1.01778945026395","0.025439142477304","0.0174785170541269","0.0174785170541269","1","NoTDA","0.911825726141079","0.966804979253112","6"
"SM1A02","7","8","12387.5324470752","12260.4362101215","1.0103663715365","0.0148785271905013","0.0102600124356251","0.0102600124356251","1","NoTDA","0.966804979253112","0.966804979253112","7"
"SM1A02","8","9","12563.9458576861","12119.0317964545","1.03671201369087","0.052015186222603","0.0354119690001202","0.0354119690001202","1","NoTDA","0.829875518672199","0.966804979253112","8"
"SM1A02","9","10","12709.4030565563","12119.1260025324","1.04870623953415","0.0686106110710536","0.0464441210493696","0.0464441210493696","1","NoTDA","0.866182572614108","0.966804979253112","9"
