"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue","points"
"Sphingorhabdus","0","1","373.443173634444","132.896429331298","2.810031657837","1.49058638395053","0.644132123134249","0.644132123134249","1","NoTDA","0.36701030927835","0.443298969072165","0"
"Sphingorhabdus","1","2","268.226878403809","108.711029860472","2.46733821534091","1.3029554895135","0.594704935957946","0.594704935957946","1","NoTDA","0.363917525773196","0.443298969072165","1"
"Sphingorhabdus","2","3","198.758191446766","72.7329912607399","2.73271025983572","1.45033250382113","0.634062924746323","0.634062924746323","1","NoTDA","0.31340206185567","0.443298969072165","2"
"Sphingorhabdus","3","4","156.104878561159","69.5288086390977","2.24518270363945","1.16683285027134","0.5546019491514","0.5546019491514","1","NoTDA","0.279381443298969","0.443298969072165","3"
"Sphingorhabdus","4","5","130.976645432213","86.9255125017803","1.50676874559159","0.591458013359669","0.336328150603242","0.336328150603242","1","NoTDA","0.443298969072165","0.443298969072165","4"
"Sphingorhabdus","5","6","116.357601718142","80.9715391544362","1.43701852444987","0.523078659540343","0.304114746618989","0.304114746618989","1","NoTDA","0.428865979381443","0.443298969072165","5"
"Sphingorhabdus","6","7","108.367778346837","49.950050577481","2.16952289525193","1.11737781117984","0.539069164843325","0.539069164843325","1","NoTDA","0.0783505154639175","0.195876288659794","6"
"Sphingorhabdus","7","8","105.246506831716","30.2438733639855","3.47992816809779","1.79905752659163","0.712637746615723","0.712637746615723","1","NoTDA","0.0164948453608247","0.0824742268041237","7"
"Sphingorhabdus","8","9","105.562833982587","25.5469529699427","4.13211055372383","2.04687885371301","0.757992922261287","0.757992922261287","1","NoTDA","0.00515463917525773","0.0515463917525773","8"
"Sphingorhabdus","9","10","107.603399612256","28.8261138149818","3.73284447230383","1.90027540049465","0.732107778017651","0.732107778017651","1","NoTDA","0.0360824742268041","0.120274914089347","9"
