"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"1"	463621	370440	369670	369376	364535	362942
"10"	333	229	204	219	194	194
"100"	508418	396727	395974	396237	392116	359745
"101"	218932	120018	119839	119873	119159	118329
"102"	726314	544858	544458	543991	540846	525402
"103"	265691	194538	194474	194506	194112	193994
"105"	389852	286982	286438	286545	283846	261248
"106"	380432	280670	280319	280411	278782	269563
"107"	310128	243803	243406	243425	240415	226486
"108"	285922	208646	208327	208354	206629	201471
"109"	283719	196466	196137	196264	194729	188867
"11"	87979	62137	61960	62018	61003	59048
"110"	336042	244507	244119	244141	241601	228445
"111"	67751	50505	50411	50419	49782	48731
"112"	258572	203605	203253	203232	201258	188722
"113"	262311	161277	160942	161030	159462	156322
"114"	152576	123833	123473	123615	122048	114503
"115"	190629	159605	159093	159225	157227	141992
"116"	250249	198614	198252	198257	196641	188019
"117"	330	275	189	183	158	154
"118"	285218	216641	216309	216242	214506	201654
"119"	368087	296140	295771	295801	293915	282176
"12"	154489	98876	98695	98736	98020	97083
"120"	200959	155859	155641	155664	155011	153880
"121"	385830	296089	295856	295920	294624	292696
"122"	299436	245516	245103	245143	244099	243175
"123"	349532	272614	272341	272438	270950	266247
"124"	221857	172955	172606	172719	170886	163002
"125"	229245	180594	180290	180425	179480	175618
"126"	252442	193467	193107	193232	191776	188157
"127"	304309	217253	216872	216811	214240	195963
"128"	319191	236282	235900	235817	233800	223592
"129"	212716	167749	167561	167609	166852	164374
"13"	78	52	22	26	10	10
"130"	312	251	216	221	201	197
"131"	324849	240248	239816	240026	238259	225872
"132"	251145	142144	141748	141909	139905	132152
"133"	225070	166057	165703	165799	163683	157932
"134"	183175	128565	128313	128359	127090	122017
"135"	241304	161939	161687	161748	160672	158661
"136"	352088	239160	238675	238755	235618	216942
"137"	302822	231389	230897	230929	227531	209800
"138"	304468	214553	214271	214271	212611	203401
"139"	128975	78767	78558	78628	77650	75420
"14"	408579	299256	298647	298795	295565	275413
"140"	246	174	144	162	138	138
"141"	83601	57626	57270	57308	55413	48258
"142"	209141	153970	153735	153770	152706	148234
"143"	616	348	290	302	251	251
"15"	192292	127909	127676	127683	126487	124079
"16"	208608	133409	132937	133227	131153	119704
"17"	121750	81983	81764	81842	80909	78159
"18"	87024	59878	59714	59752	59063	57161
"19"	105764	73285	73119	73138	72442	71548
"2"	267404	218979	218832	218654	217154	215140
"20"	215500	87389	87109	87171	85110	76036
"21"	177505	150593	150179	150376	148858	138271
"22"	320942	277062	276546	276572	274267	263294
"23"	88067	73132	72952	72947	72512	71589
"24"	175370	148580	148068	148293	146423	135230
"25"	177479	142190	141753	141954	140733	134538
"26"	664	560	494	512	459	459
"27"	316117	263616	262972	263242	261330	248338
"28"	131228	106431	106289	106193	105492	102656
"29"	266340	226911	226506	226570	224569	218092
"3"	199357	155731	155611	155634	154777	154397
"30"	118627	98911	98862	98870	98676	98405
"31"	277559	219821	219513	219571	217748	199461
"32"	402980	328309	327581	327843	325053	297455
"33"	243166	186391	186130	185952	184583	180242
"34"	499216	349918	349154	349349	345475	297523
"35"	4444	3158	3133	3151	3086	3075
"36"	243165	198766	198380	198575	197186	187286
"37"	382145	302831	301946	302151	297979	252583
"38"	235164	174557	173958	174175	170967	145418
"4"	241158	180008	179844	179853	178089	177306
"40"	618551	484463	483689	483740	480110	459103
"41"	174570	136581	136016	136263	133104	111419
"42"	194448	145979	145698	145715	144220	134730
"43"	108992	78845	78600	78683	77495	75513
"44"	199692	148338	147982	147962	145865	137021
"45"	250708	190425	190123	190214	188740	184590
"46"	167190	121334	121119	121081	119826	118205
"47"	204243	142192	142008	142060	141219	138558
"48"	238544	173533	173183	173252	171165	166782
"49"	467345	349549	348501	348918	345144	329120
"5"	1809	1330	1287	1311	1273	1271
"50"	21364	15687	15636	15641	15434	15291
"51"	233912	134325	133799	134018	130880	120301
"52"	535	465	360	380	334	334
"53"	429243	373915	373030	373292	370029	345263
"54"	200916	164001	163699	163659	162345	157562
"55"	77199	65297	65040	65143	64273	60883
"56"	197856	154511	154058	154234	152511	143944
"57"	391638	317806	317451	317306	314420	308706
"58"	191645	157720	157192	157343	155671	144338
"59"	192440	154818	154468	154505	153354	149855
"6"	423733	349106	348636	348620	344089	338492
"60"	207094	175327	175219	175229	174249	174109
"61"	405904	337846	337170	337273	333732	299820
"62"	249179	195167	194760	194889	192662	182552
"63"	219682	179321	179008	178902	177353	172196
"64"	358883	275200	274889	274647	272703	265999
"66"	399399	273344	272761	272756	269869	262576
"67"	155435	109702	109546	109530	108949	107027
"68"	185344	151139	150909	150916	149671	145615
"69"	99072	76912	76824	76839	76503	76142
"7"	2216	1786	1760	1768	1740	1735
"70"	401623	295480	295170	294697	292522	287504
"71"	442953	320068	319543	319749	317710	311596
"72"	209668	150843	150637	150659	149426	147081
"73"	531191	370734	370491	370136	366535	357111
"74"	164608	102190	101992	102029	101051	99338
"75"	191147	130744	130511	130539	129407	124483
"76"	189264	133959	133675	133794	132601	127827
"77"	167099	108418	108262	108304	107677	106197
"78"	986	626	600	606	569	564
"79"	274534	183578	183283	183272	181723	173330
"8"	694127	540893	540053	539186	531137	506894
"80"	40341	26703	26594	26670	26390	26107
"81"	54652	37027	36865	36913	36202	35547
"82"	80183	32078	31922	32018	31296	30200
"83"	356177	293135	292801	292749	291075	284988
"84"	264781	224463	224076	224008	222494	215915
"85"	285571	230688	230409	230431	229203	225514
"86"	318557	261505	261195	261263	259848	254227
"87"	247290	192456	191938	192061	189388	173871
"88"	300236	242098	241824	241854	240844	237368
"89"	509181	407116	406627	406685	404003	379930
"9"	598886	435620	435264	434938	429621	425000
"90"	325977	256734	256220	256178	252614	218393
"91"	1857	1561	1473	1483	1425	1401
"92"	548964	445043	444753	444568	442302	426423
"93"	219759	173917	173733	173770	172887	170231
"94"	556	437	423	424	407	402
"95"	237547	187359	187215	187268	186680	185549
"96"	172856	125945	125836	125840	125263	124443
"97"	375213	279334	279191	279156	278015	275354
"98"	413061	335533	335211	335209	333623	325778
"99"	373709	293706	293510	293522	292310	290648
